	origin_times	tids	latitudes	longitudes	depths	max_hor_uncertainty	max_ver_uncertainty	azimuth_max_hor_unc	magnitudes	fractal_dimensions	mining_activity	location_quality	rel_error_hor	rel_error_ver
103	2012-05-06 10:14:11.258104+00:00	1285	39.9354	29.8417	3.07292	9.31378	2.81847	31.7546		0.10622	False	1		
104	2012-05-06 10:14:14.258536+00:00	923	40.0759	29.9429	11.5104	7.78902	3.03655	32.8608		0.104657	False	1		
105	2012-05-06 10:46:05.801736+00:00	112	39.8236	31.5497	0.052083	13.6675	1.81187	120.973			True	0		
106	2012-05-06 10:54:41.860011+00:00	1253	39.9139	29.7254	0.989583	13.4111	1.65076	34.0202			True	0		
107	2012-05-06 10:54:50.274921+00:00	1011	40.2733	30.0883	2.122	4.35136	1.02303	45.624			True	2		
108	2012-05-06 11:51:18.575625+00:00	1766	38.904	29.1631	1.04167	11.5849	11.4966	117.843			False	0		
109	2012-05-06 11:51:36.986276+00:00	2057	39.9388	29.8235	3.02083	5.17285	2.61303	35.0406		0.100307	False	1		
110	2012-05-06 12:00:39.914393+00:00	1418	39.9213	29.8418	0.989583	5.66611	2.16195	30.3749		0.0994881	False	1		
111	2012-05-06 12:00:43.679135+00:00	1286	40.0899	29.9648	10.0521	9.44151	2.60672	33.5888	1.39299	0.126267	False	1		
112	2012-05-06 13:43:00.718875+00:00	223	40.9684	31.2292	0.013021	1.57458	1.97973	60.0553			True	2		
113	2012-05-06 13:51:21.249976+00:00	130	38.7934	29.3366	1.04167	13.2634	10.4019	128.422			False	0		
114	2012-05-06 13:51:39.685637+00:00	562	39.9073	29.8419	0.989583	7.53109	1.55947	27.4005		0.119754	False	1		
115	2012-05-06 13:51:43.258536+00:00	923	40.0759	29.9429	11.5104	7.78902	3.03655	32.8608		0.104657	False	1		
116	2012-05-06 15:47:02.093038+00:00	38	38.8479	29.164	1.875	10.233	11.6781	115.653			False	0		
117	2012-05-06 15:47:22.803395+00:00	190	40.0127	29.9141	11.0938	8.09665	3.34837	33.2638		0.101293	False	1		
118	2012-05-06 16:15:13.200209+00:00	1209	38.8767	29.2495	1.875	9.14706	11.6847	114.545			False	0		
119	2012-05-06 16:15:31.154393+00:00	1418	39.9213	29.8418	0.989583	5.66611	2.16195	30.3749		0.0994881	False	1		
120	2012-05-06 16:15:34.498536+00:00	923	40.0759	29.9429	11.5104	7.78902	3.03655	32.8608		0.104657	False	1		
121	2012-05-06 18:18:39.842088+00:00	3799	39.9354	29.8562	4.01042	8.10423	3.66512	36.5241		0.105363	False	1		
122	2012-05-06 19:57:15.435226+00:00	473	38.8492	29.3072	0.625	11.8599	11.4566	111.937			False	0		
123	2012-05-06 19:57:35.723361+00:00	9	40.0336	29.8703	4.94792	7.57135	2.59898	23.9682	2.61744	0.0759459	False	1		
124	2012-05-06 22:14:47.320339+00:00	559	38.8492	29.3072	1.45833	12.7711	11.1852	107.14			False	0		
125	2012-05-06 22:15:05.085637+00:00	562	39.9073	29.8419	0.989583	7.53109	1.55947	27.4005		0.119754	False	1		
126	2012-05-06 22:15:08.176900+00:00	2510	40.0408	29.9504	10.0521	9.11443	2.74467	33.7786	1.31956	0.11505	False	1		
127	2012-05-06 22:19:06.842383+00:00	703	39.8721	29.8057	6.92708	5.77748	2.53798	34.3153		0.102665	False	1		
128	2012-05-06 23:49:55.663224+00:00	1267	39.9248	29.8381	7.1875	8.07791	3.13676	34.5873		0.104761	False	1		
129	2012-05-06 23:49:58.680341+00:00	72	40.0689	29.9648	14.2188	8.67232	3.348	35.3466		0.101284	False	1		
130	2012-05-07 01:12:01.873865+00:00	449	38.9043	29.1918	2.29167	8.99945	11.5191	116.815			False	0		
131	2012-05-07 01:12:19.788457+00:00	447	39.8968	29.8383	6.97917	54.3079	5.47335	24.4546			False	0		
132	2012-05-07 01:21:24.880341+00:00	72	40.0689	29.9648	14.2188	8.67232	3.348	35.3466		0.101284	False	1		
133	2012-05-07 03:02:40.619714+00:00	2837	38.9043	29.1918	1.04167	9.75365	11.5378	117.807			False	0		
134	2012-05-07 04:26:32.981536+00:00	438	38.8765	29.2209	1.04167	11.1878	11.4868	115.77			False	0		
135	2012-05-07 04:26:51.123971+00:00	439	39.9073	29.8419	4.01042	51.8269	5.65938	24.0164			False	0		
136	2012-05-07 04:40:34.408437+00:00	436	38.9043	29.1918	0.625	10.0019	11.6431	116.847			False	0		
137	2012-05-07 04:49:49.922861+00:00	711	38.8212	29.3076	1.875	13.5123	11.5197	113.781			False	0		
138	2012-05-07 04:50:08.203479+00:00	11	39.9213	29.8345	0.989583	8.69538	2.08225	24.162		0.0994881	False	1		
139	2012-05-07 06:18:59.841895+00:00	189	39.9002	29.8128	9.73958	7.22761	3.226	34.6372		0.112176	False	1		
140	2012-05-07 06:34:26.341536+00:00	438	38.8765	29.2209	1.04167	11.1878	11.4868	115.77			False	0		
141	2012-05-07 06:41:39.066008+00:00	1405	39.8467	30.3201	0.026042	1.19236	1.39499	103.47			True	2		
142	2012-05-07 07:01:33.426918+00:00	263	40.6602	30.1352	9.894	1.46901	1.67236	19.6199	2.12034		True	2	0.08	0.103
143	2012-05-07 07:01:33.812425+00:00	22	40.6692	30.1708	0.052	0.405786	0.218053	50.2215	1.35083		True	2	0.057	0.071
144	2012-05-07 08:59:55.144575+00:00	640	39.5034	29.376	0.026042	7.2019	0.777668	8.28465			True	1		
145	2012-05-07 09:00:09.804285+00:00	906	40.218	30.0501	2.89062	0.904698	1.20222	43.0883			True	2		
146	2012-05-07 09:49:12.596422+00:00	484	40.666	30.0458	0.003255	0.585506	0.143032	91.1476	0.923552		True	2		
147	2012-05-07 09:54:12.190370+00:00	244	39.6423	30.7619	0.026042	4.5145	0.568879	130.252			True	2		
148	2012-05-07 09:54:15.078484+00:00	1848	39.7603	30.5904	0.052083	7.61135	1.15956	146.963			True	1		
149	2012-05-07 09:55:40.574855+00:00	355	40.2109	29.9916	0.026042	1.6895	1.09598	20.5821			True	2		
150	2012-05-07 10:32:39.734189+00:00	3386	39.455	29.2447	0.052083	12.8513	9.73573	17.3727			True	0		
151	2012-05-07 10:32:49.140011+00:00	1253	39.9139	29.7254	0.989583	13.4111	1.65076	34.0202			True	0		
152	2012-05-07 10:32:55.237030+00:00	747	40.195	29.9497	0.885417	14.3767	1.81958	32.934			True	0		
153	2012-05-07 13:27:40.172390+00:00	915	39.6425	30.722	0.026042	4.02818	0.658336	126.407			True	2		
154	2012-05-07 13:30:25.558798+00:00	1005	40.2109	29.9916	0.703125	1.87441	1.22734	20.0668			True	2		
155	2012-05-07 13:49:16.084865+00:00	3351	40.3862	29.9211	0.072	0.909634	0.440052	67.4264	1.91762		True	2	0.041	0.078
156	2012-05-07 13:58:41.144392+00:00	2529	41.1892	28.9944	0.026042	5.7813	1.11839	175.402			True	1		
157	2012-05-07 14:15:35.263333+00:00	500	40.7948	29.6246	1.27604	0.768397	1.26153	106.799			True	2		
158	2012-05-07 15:18:23.919338+00:00	150	39.864	30.4982	0.026042	1.46835	0.979942	3.04969			True	2		
159	2012-05-07 15:47:05.050571+00:00	3064	38.9037	29.1344	1.875	9.33464	11.5931	119.701			False	0		
160	2012-05-07 16:31:16.113865+00:00	449	38.9043	29.1918	2.29167	8.99945	11.5191	116.815			False	0		
161	2012-05-07 16:31:34.028457+00:00	447	39.8968	29.8383	6.97917	54.3079	5.47335	24.4546			False	0		
162	2012-05-07 16:55:09.680209+00:00	1209	38.8767	29.2495	1.875	9.14706	11.6847	114.545			False	0		
163	2012-05-07 17:11:04.282157+00:00	124	39.9354	29.8417	4.01042	6.0182	2.78016	35.555		0.102584	False	1		
164	2012-05-07 17:11:07.045696+00:00	4100	40.0619	29.9576	15.9896	6.82357	2.1556	29.5956		0.0908548	False	1		
165	2012-05-07 17:29:41.513026+00:00	871	38.9037	29.1344	0.625	10.1313	11.6444	117.63			False	0		
166	2012-05-07 17:30:00.582506+00:00	674	39.9319	29.8599	3.75	7.30491	2.90849	39.1258		0.107302	False	1		
167	2012-05-07 19:54:11.593026+00:00	871	38.9037	29.1344	0.625	10.1313	11.6444	117.63			False	0		
168	2012-05-07 19:54:30.642088+00:00	3799	39.9354	29.8562	4.01042	8.10423	3.66512	36.5241		0.105363	False	1		
169	2012-05-07 19:58:44.202088+00:00	3799	39.9354	29.8562	4.01042	8.10423	3.66512	36.5241		0.105363	False	1		
170	2012-05-07 20:22:38.911929+00:00	94	39.0715	27.9422	0.052083	10.2682	3.18349	174.497			False	0		
171	2012-05-07 20:36:07.555604+00:00	17	38.8485	29.2213	1.04167	11.0735	11.3938	113.781			False	0		
172	2012-05-07 23:13:24.685696+00:00	4100	40.0619	29.9576	15.9896	6.82357	2.1556	29.5956		0.0908548	False	1		
173	2012-05-07 23:37:07.462564+00:00	1279	40.0198	29.9359	14.9479	6.75198	2.78784	30.9539		0.0807666	False	1		
174	2012-05-07 23:40:35.282009+00:00	313	40.0128	29.9578	13.5938	9.60008	3.55898	37.5768			False	0		
175	2012-05-08 00:40:51.746640+00:00	191	40.083	29.9794	10.9896	9.32668	3.04997	32.0413		0.0978053	False	1		
176	2012-05-08 00:43:45.285696+00:00	4100	40.0619	29.9576	15.9896	6.82357	2.1556	29.5956		0.0908548	False	1		
177	2012-05-08 02:31:13.973038+00:00	38	38.8479	29.164	1.875	10.233	11.6781	115.653			False	0		
178	2012-05-08 02:31:34.683395+00:00	190	40.0127	29.9141	11.0938	8.09665	3.34837	33.2638		0.101293	False	1		
179	2012-05-08 03:46:03.849417+00:00	0	38.9031	29.0771	0.625	11.3667	11.6128	120.19			False	0		
180	2012-05-08 05:48:02.905105+00:00	2122	40.0479	29.9576	12.0312	7.31894	2.78086	36.6555		0.102943	False	1		
181	2012-05-08 07:12:07.614895+00:00	2752	39.451	30.8128	0.052083	8.7306	1.10469	166.412			True	1		
182	2012-05-08 07:33:39.320533+00:00	3336	40.4858	29.2881	0.052083	4.18874	4.43311	147.912			True	1		
183	2012-05-08 07:44:02.425105+00:00	2122	40.0479	29.9576	12.0312	7.31894	2.78086	36.6555		0.102943	False	1		
184	2012-05-08 07:45:47.254855+00:00	355	40.2109	29.9916	0.026042	1.6895	1.09598	20.5821			True	2		
185	2012-05-08 07:45:49.074921+00:00	1011	40.2733	30.0883	2.122	4.35136	1.02303	45.624			True	2		
186	2012-05-08 08:26:17.089976+00:00	130	38.7934	29.3366	1.04167	13.2634	10.4019	128.422			False	0		
187	2012-05-08 08:26:35.137969+00:00	15	39.8933	29.8347	0.989583	10.1042	2.23394	26.8025			False	0		
188	2012-05-08 08:26:39.479134+00:00	1286	40.0899	29.9648	10.0521	9.44151	2.60672	33.5888	-0.542241	0.126267	False	1		
189	2012-05-08 08:42:01.958798+00:00	1005	40.2109	29.9916	0.703125	1.87441	1.22734	20.0668			True	2		
190	2012-05-08 08:42:03.740911+00:00	807	40.2733	30.0883	2.122	3.64821	1.0527	42.3395			True	2		
191	2012-05-08 09:01:50.085682+00:00	1324	40.6912	29.127	0.104167	2.67413	2.15324	100.634		0.150629	False	2		
192	2012-05-08 09:06:16.961717+00:00	279	39.4892	29.3473	0.026042	5.4039	0.904725	140.442			True	1		
193	2012-05-08 09:43:19.825586+00:00	479	38.876	29.1636	2.70833	10.7815	11.4785	116.912			False	0		
194	2012-05-08 09:46:21.978009+00:00	613	40.6651	30.0577	0.003255	0.516652	0.113062	87.4062	1.02949		True	2		
195	2012-05-08 09:50:59.004973+00:00	1197	40.6646	30.0476	0.003255	0.480882	0.103385	91.3429	1.21239		True	2		
196	2012-05-08 09:50:59.287530+00:00	2738	40.6709	30.0606	-0.473	0.414194	0.0978221	75.1089	1.26509		True	2		
197	2012-05-08 09:56:51.580879+00:00	1675	40.6655	30.0693	-0.137	0.887584	0.216182	66.9114			True	2		
198	2012-05-08 10:21:45.461776+00:00	3215	40.7904	29.6329	0.013021	0.847124	2.50369	86.6122			True	2		
199	2012-05-08 10:29:37.859361+00:00	1863	40.0506	29.4382	0.026042	1.77302	1.65001	178.048			True	2		
200	2012-05-08 12:53:41.061490+00:00	1974	39.6537	30.0082	0.026042	2.25322	1.09134	107.523			True	2		
201	2012-05-08 12:56:50.444865+00:00	3351	40.3862	29.9211	0.072	0.909634	0.440052	67.4264	-0.0279779		True	2	0.053	0.078
202	2012-05-08 12:59:32.466918+00:00	263	40.6601	30.1352	10.003	1.46901	1.67236	19.6199	1.82774		True	2	0.192	0.148
203	2012-05-08 12:59:32.876988+00:00	57	40.672	30.1738	-0.275	0.544927	0.127452	58.0441	0.912089		True	2	0.076	0.097
204	2012-05-08 13:33:26.500012+00:00	1253	39.9139	29.7254	0.989583	13.4111	1.65076	34.0202			True	0		
205	2012-05-08 13:33:33.094855+00:00	355	40.2109	29.9916	0.026042	1.6895	1.09598	20.5821			True	2		
206	2012-05-08 13:45:34.845387+00:00	1008	39.538	29.9942	0.026042	4.3161	0.880069	92.8972			True	2		
207	2012-05-08 13:57:52.002689+00:00	448	40.8533	30.4015	-0.052	0.323526	0.390368	86.0101	2.00345		True	2	0.019	0.036
208	2012-05-08 13:57:52.300053+00:00	107	40.858	30.4033	6.157	0.320792	0.524893	78.9986	2.35948		True	2	0.008	0.027
209	2012-05-08 14:21:11.948326+00:00	2952	40.7888	29.6569	0.013021	1.18811	2.98695	68.1025			True	2		
210	2012-05-08 14:24:53.452456+00:00	1560	40.8804	30.386	-0.063	0.474302	2.52476	127.259	2.01672		True	2	0.051	0.049
211	2012-05-08 14:24:53.792615+00:00	68	40.8815	30.3617	6.787	0.507537	0.988591	68.3453	2.56017		True	2	0.082	0.174
212	2012-05-08 14:39:43.276415+00:00	330	40.7807	29.6174	0.963542	1.61506	5.96061	64.8566			True	1		
213	2012-05-08 15:51:55.436499+00:00	30	40.4755	30.3342	0.003255	0.228012	0.104555	67.5687			True	2		
214	2012-05-08 16:05:58.955195+00:00	1584	40.5846	30.3546	0.003255	0.285575	0.110785	101.77	2.09985		True	2		
215	2012-05-08 16:29:05.199338+00:00	150	39.864	30.4982	0.026042	1.46835	0.979942	3.04969			True	2		
216	2012-05-08 16:55:01.379361+00:00	1863	40.0506	29.4382	0.026042	1.77302	1.65001	178.048			True	2		
217	2012-05-08 17:03:27.265586+00:00	479	38.876	29.1636	2.70833	10.7815	11.4785	116.912			False	0		
218	2012-05-08 17:26:08.558875+00:00	223	40.9684	31.2292	0.013021	1.57458	1.97973	60.0553			True	2		
219	2012-05-08 17:43:38.299747+00:00	924	38.8767	29.2495	1.45833	10.9794	11.536	115.435			False	0		
220	2012-05-08 17:43:54.734456+00:00	387	39.8441	29.8132	2.65625	5.28047	2.19415	32.9458		0.116549	False	1		
