Date        Time      Latit(N)	Long(E) Depth(km)  ML 
26.08.2013  13:13:13  40.5473	 30.1172   5.2       0.9
26.08.2013  14:50:00  40.2265	 29.9397   7.0       0.8
27.08.2013  08:43:47  40.2995	 29.7880   6.0       0.7
27.08.2013  18:45:38  40.7072	 30.1640   2.9       0.5
28.08.2013  12:06:23  40.5302	 30.5497   8.8       1.4
28.08.2013  12:51:03  40.6660	 30.3713   12.4      0.7
28.08.2013  13:13:29  40.0885	 30.1003   2.8       1.5
28.08.2013  17:22:58  40.7083	 30.7938   11.0      1.2
29.08.2013  01:02:30  40.7342	 29.9707   9.3       2.0
29.08.2013  10:37:59  40.4263	 30.0590   5.5       1.0
29.08.2013  20:13:42  40.7105	 30.6675   2.3       0.7
30.08.2013  02:18:04  40.7908	 30.9213   10.0      1.2
30.08.2013  04:42:59  40.9672	 30.5788   2.0       1.3
30.08.2013  09:04:50  40.2037	 29.9263   15.2      0.8
30.08.2013  09:15:26  40.0805	 30.0885   7.4       1.0
30.08.2013  23:00:43  40.4188	 30.2882   9.1       0.6
01.09.2013  16:10:08  40.7048	 30.6573   7.8       1.9
01.09.2013  06:28:23  40.7113	 30.1580   3.9       0.5
01.09.2013  14:59:23  40.3593	 30.0140   4.4       0.5
02.09.2013  05:33:38  40.6970	 30.5918   9.1       1.4
02.09.2013  15:50:30  40.8797	 30.3925   6.0       1.1
03.09.2013  02:24:07  40.7108	 30.1700   4.5       0.5
03.09.2013  03:02:10  40.7017	 30.6653   3.3       0.5
03.09.2013  09:50:59  40.3440	 29.9803   2.0       0.6
03.09.2013  11:53:39  40.4077	 30.0043   5.0       1.3
03.09.2013  16:03:15  40.0740	 30.1003   1.5       1.8
03.09.2013  16:19:00  40.7183	 30.8215   10.2      1.1
03.09.2013  22:52:04  40.6432	 30.6430   4.4       1.1
04.09.2013  16:13:47  40.6502	 30.5595   9.4       0.7
04.09.2013  18:42:45  39.9635	 30.3400   2.4       1.9
05.09.2013  08:51:09  40.1748	 29.9612   11.7      1.3
05.09.2013  11:12:16  40.1802	 29.9567   5.5       1.3
05.09.2013  12:36:23  40.7562	 30.3875   8.7       0.7
05.09.2013  13:20:02  40.6503	 30.3342   5.5       0.6
05.09.2013  14:12:01  40.2643	 30.0230   4.9       1.4
07.09.2013  09:07:10  40.6017	 29.8942   1.9       0.6
07.09.2013  16:27:48  40.7062	 30.7907   4.8       1.1
07.09.2013  16:42:22  40.4498	 29.9787   8.9       1.3
09.09.2013  02:34:10  40.3743	 30.0375   6.0       0.6
09.09.2013  12:22:58  40.6208	 30.4495   6.0       0.9
10.09.2013  09:01:42  40.5833	 29.7865   2.0       0.8
10.09.2013  10:12:02  40.4260	 30.0357   2.3       0.8
10.09.2013  11:11:04  40.2347	 30.2313   1.0       0.9
11.09.2013  12:30:33  40.8827	 30.4190   4.5       1.9
12.09.2013  04:40:34  40.5935	 30.5463   2.2       0.7
12.09.2013  14:47:50  40.5917	 29.8137   7.0       1.1
13.09.2013  01:35:56  40.7087	 30.1648   1.9       0.2
13.09.2013  15:33:31  40.7452	 31.1568   6.4       1.6
14.09.2013  11:53:19  40.0855	 30.1133   8.3       0.9
14.09.2013  13:15:49  40.3543	 30.0280   3.9       1.1
14.09.2013  14:56:50  40.4288	 30.0548   5.5       0.9
14.09.2013  16:17:56  40.7137	 30.8308   7.5       1.3
15.09.2013  17:14:36  40.9215	 30.7492   6.8       1.6
16.09.2013  11:05:11  40.8415	 29.7625   6.7       1.0
16.09.2013  13:57:39  40.8772	 30.4240   4.1       1.7
17.09.2013  09:06:21  40.5958	 29.7648   7.6       1.5
17.09.2013  13:42:47  40.2698	 29.9732   2.7       1.0
17.09.2013  23:44:08  40.7377	 30.0323   13.4      0.6
18.09.2013  01:03:06  40.8062	 31.0487   6.5       1.5
19.09.2013  05:42:23  40.3938	 30.1320   1.4       0.3
19.09.2013  06:03:55  40.2035	 29.9705   7.0       0.8
19.09.2013  13:51:56  40.9498	 30.5488   6.0       1.2
19.09.2013  15:14:33  40.5997	 29.9000   6.8       1.2
20.09.2013  13:10:53  40.4017	 29.9768   7.3       1.4
21.09.2013  07:33:28  40.1907	 29.9730   10.5      0.7
